code,EN,FR,DE,IT,PT,RU,ES,JA,ZH,,,,
main.title,How countries differ in their sport representation at the Rio summer olympics?,,,,,,,,,,,,
descr1,Percentage of athletes competing at the Rio 2016 summer olympics by country and by sport groups. The dotted horizontal lines correspond to the proportion of athletes over all nations competing for that sport.,,,,,,,,,,,,
descr2,The different sport groups are shown by order of importance,,,,,,,,,,,,
source,Source,source,Quelle,Fonte,fonte,Источник,Fuente,出典,来源,,,,
source.name,www.rio2016.com,www.rio2016.com,www.rio2016.com,www.rio2016.com,www.rio2016.com,www.rio2016.com,www.rio2016.com,www.rio2016.com,www.rio2016.com,,,,
SUI,Switzerland,,,,,,,,,,,,
BRA,Brazil,,,,,,,,,,,,
USA,United States,,,,,,,,,,,,
CHN,China,,,,,,,,,,,,
RUS,Russia,,,,,,,,,,,,
IND,India,,,,,,,,,,,,
JPN,Japan,,,,,,,,,,,,
TUR,Turkey,,,,,,,,,,,,
GER,Germany,,,,,,,,,,,,
ITA,Italy,,,,,,,,,,,,
FRA,France,,,,,,,,,,,,
ESP,Spain,,,,,,,,,,,,
GBR,United Kingdom,,,,,,,,,,,,
Aquatics,Aquatics,,,,,,,,,,,,
Aquatics.underlying,"Diving, marathon-swimming, swimming, synchronised-swimming",,,,,,,,,,,,
Aquatics.padding,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;, , , ,
Athletics,Athletics,,,,,,,,,,,,
Athletics.underlying,<br>,,,,,,,,,,,,
Athletics.padding,<br>,,,,,,,,,,,,
Canoe,Canoe,,,,,,,,,,,,
Canoe.underlying,"canoe-slalom, canoe-sprint",,,,,,,,,,,,
Canoe.padding,<br>,,,,,,,,,,,,
Combat Sports,Combat Sports,,,,,,,,,,,,
Combat Sports.underlying,"Boxing, judo, taekwondo, wrestling",,,,,,,,,,,,
Combat Sports.padding,<br><br>,,,,,,,,,,,,
Cycling,Cycling,,,,,,,,,,,,
Cycling.underlying,"Bmx, mountain-bike, cycling-road, cycling-track",,,,,,,,,,,,
Cycling.padding,<br><br>,,,,,,,,,,,,
Equestrian,Equestrian,,,,,,,,,,,,
Equestrian.underlying,<br>,,,,,,,,,,,,
Equestrian.padding,<br>,,,,,,,,,,,,
Fencing,Fencing,,,,,,,,,,,,
Fencing.underlying,<br>,,,,,,,,,,,,
Fencing.padding,<br>,,,,,,,,,,,,
Golf,Golf,,,,,,,,,,,,
Golf.underlying																								,<br>,,,,,,,,,,,,
Golf.padding,<br>,,,,,,,,,,,,
Gymnastics,Gymnastics,,,,,,,,,,,,
Gymnastics.underlying,"Artistic-gymnastics, rhythmic-gymnastics, trampoline-gymnastics",,,,,,,,,,,,
Gymnastics.padding,<br>,,,,,,,,,,,,
Other Sports,Other Sports,,,,,,,,,,,,
Other Sports.underlying,"Archery, beach-volleyball, weightlifting",,,,,,,,,,,,
Other Sports.padding,<br>,,,,,,,,,,,,
Pentathlon & Triathlon,Pentathlon & Triathlon,,,,,,,,,,,,
Pentathlon & Triathlon.underlying,<br>,,,,,,,,,,,,
Pentathlon & Triathlon.padding,<br>,,,,,,,,,,,,
Racquet Sports,Racquet Sports,,,,,,,,,,,,
Racquet Sports.underlying,"Badminton, table-tennis, tennis",,,,,,,,,,,,
Racquet Sports.padding,<br><br>,,,,,,,,,,,,
Rowing,Rowing,,,,,,,,,,,,
Rowing.underlying,<br>,,,,,,,,,,,,
Rowing.padding,<br>,,,,,,,,,,,,
Sailing,Sailing,,,,,,,,,,,,
Sailing.underlying,<br>,,,,,,,,,,,,
Sailing.padding,<br>,,,,,,,,,,,,
Shooting,Shooting,,,,,,,,,,,,
Shooting.underlying,<br>,,,,,,,,,,,,
Shooting.padding,<br>,,,,,,,,,,,,
Team Sports,Team Sports,,,,,,,,,,,,
Team Sports.underlying,"Basketball, football, handball, hockey, rugby-sevens, volleyball, water-polo",,,,,,,,,,,,
Team Sports.padding, &nbsp;, &nbsp;, &nbsp;, &nbsp;, &nbsp;, &nbsp;, &nbsp;, &nbsp;, &nbsp;,, , , 
base_family,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,,,,
title_family,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,,,,