code,EN,FR,DE,IT,PT,RU,ES,JA,ZH,スイス,,,
main.title,How countries differ in their sport representation at the Rio summer olympics?,,,,,,,,,ブラジル,,,
descr1,Percentage of athletes competing at the Rio 2016 summer olympics by country and by sport groups. The dotted horizontal lines correspond to the proportion of athletes over all nations competing for that sport. The different sport groups are shown under by order of athletes number importance,,,,,,,,,米国,,,
source,Source,source,Quelle,Fonte,fonte,Источник,Fuente,出典,来源,中国,,,
source.name,"www.rio2016.com (data), Wikimedia (sport icons), R ggiraph (code)",www.rio2016.com,www.rio2016.com,www.rio2016.com,www.rio2016.com,www.rio2016.com,www.rio2016.com,www.rio2016.com,www.rio2016.com,ロシア,,,
SUI,Switzerland,,,,,,,,,インド,,,
BRA,Brazil,,,,,,,,,日本,,,
USA,United States,,,,,,,,,トルコ,,,
CHN,China,,,,,,,,,ドイツ,,,
RUS,Russia,,,,,,,,,イタリア,,,
IND,India,,,,,,,,,フランス,,,
JPN,Japan,,,,,,,,,スペイン,,,
TUR,Turkey,,,,,,,,,英国,,,
GER,Germany,,,,,,,,,,,,
ITA,Italy,,,,,,,,,,,,
FRA,France,,,,,,,,,,,,
ESP,Spain,,,,,,,,,,,,
GBR,United Kingdom,,,,,,,,,,,,
Aquatics,Aquatics,,,,,,,,,,,,
Aquatics.underlying,"Diving, marathon-swimming, swimming, synchronised-swimming",,,,,,,,,,,,
Aquatics.padding,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;, , , ,
Athletics,Athletics,,,,,,,,,,,,
Athletics.underlying,<br>,,,,,,,,,,,,
Athletics.padding,<br>,,,,,,,,,,,,
Canoe,Canoe,,,,,,,,,,,,
Canoe.underlying,"canoe-slalom, canoe-sprint",,,,,,,,,,,,
Canoe.padding,<br><br>,,,,,,,,,,,,
Combat Sports,Combat Sports,,,,,,,,,,,,
Combat Sports.underlying,"Boxing, judo, taekwondo, wrestling",,,,,,,,,,,,
Combat Sports.padding,<br><br>,,,,,,,,,,,,
Cycling,Cycling,,,,,,,,,,,,
Cycling.underlying,"Bmx, mountain-bike, cycling-road, cycling-track",,,,,,,,,,,,
Cycling.padding,<br><br>,,,,,,,,,,,,
Equestrian,Equestrian,,,,,,,,,,,,
Equestrian.underlying,<br>,,,,,,,,,,,,
Equestrian.padding,<br>,,,,,,,,,,,,
Fencing,Fencing,,,,,,,,,,,,
Fencing.underlying,<br>,,,,,,,,,,,,
Fencing.padding,<br>,,,,,,,,,,,,
Golf,Golf,,,,,,,,,,,,
Golf.underlying																								,<br>,,,,,,,,,,,,
Golf.padding,<br>,,,,,,,,,,,,
Gymnastics,Gymnastics,,,,,,,,,,,,
Gymnastics.underlying,"Artistic-gymnastics, rhythmic-gymnastics, trampoline-gymnastics",,,,,,,,,,,,
Gymnastics.padding,<br><br>,,,,,,,,,,,,
Other Sports,Other Sports,,,,,,,,,,,,
Other Sports.underlying,"Archery, beach-volleyball, weightlifting",,,,,,,,,,,,
Other Sports.padding,<br><br>,,,,,,,,,,,,
Pentathlon & Triathlon,Pentathlon & Triathlon,,,,,,,,,,,,
Pentathlon & Triathlon.underlying,<br>,,,,,,,,,,,,
Pentathlon & Triathlon.padding,<br>,,,,,,,,,,,,
Racquet Sports,Racquet Sports,,,,,,,,,,,,
Racquet Sports.underlying,"Badminton, table-tennis, tennis",,,,,,,,,,,,
Racquet Sports.padding,<br><br>,,,,,,,,,,,,
Rowing,Rowing,,,,,,,,,,,,
Rowing.underlying,<br>,,,,,,,,,,,,
Rowing.padding,<br>,,,,,,,,,,,,
Sailing,Sailing,,,,,,,,,,,,
Sailing.underlying,<br>,,,,,,,,,,,,
Sailing.padding,<br>,,,,,,,,,,,,
Shooting,Shooting,,,,,,,,,,,,
Shooting.underlying,<br>,,,,,,,,,,,,
Shooting.padding,<br>,,,,,,,,,,,,
Team Sports,Team Sports,,,,,,,,,,,,
Team Sports.underlying,"Basketball, football, handball, hockey, rugby-sevens, volleyball, water-polo",,,,,,,,,,,,
Team Sports.padding, &nbsp;, &nbsp;, &nbsp;, &nbsp;, &nbsp;, &nbsp;, &nbsp;, &nbsp;, &nbsp;,, , , 
base_family,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,,,,
title_family,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,,,,